channel1,channel2
-280.0,-280.0
-287.37,-287.37
-294.62,-294.62
-301.5,-301.5
-308.25,-308.25
-314.62,-314.62
-320.87,-320.87
-326.87,-326.87
-332.5,-332.5
-338.12,-338.12
-343.25,-343.25
-348.37,-348.37
-353.25,-353.25
-357.87,-357.87
-362.25,-362.25
-366.5,-366.5
-370.5,-370.5
-374.37,-374.37
-378.0,-378.0
-381.37,-381.37
-384.62,-384.62
-387.5,-387.5
-390.37,-390.37
-392.87,-392.87
-395.25,-395.25
-397.62,-397.62
-399.87,-399.87
-401.75,-401.75
-403.37,-403.37
-404.87,-404.87
-406.37,-406.37
-407.75,-407.75
-408.75,-408.75
-409.75,-409.75
-410.37,-410.37
-411.25,-411.25
-411.5,-411.5
-412.0,-412.0
-412.12,-412.12
-412.25,-412.25
-412.25,-412.25
-411.87,-411.87
-411.5,-411.5
-411.12,-411.12
-410.62,-410.62
-409.87,-409.87
-409.0,-409.0
-407.87,-407.87
-407.0,-407.0
-405.75,-405.75
-404.62,-404.62
-403.25,-403.25
-401.62,-401.62
-400.0,-400.0
-398.0,-398.0
-396.12,-396.12
-394.12,-394.12
-392.0,-392.0
-389.87,-389.87
-387.62,-387.62
-385.37,-385.37
-383.12,-383.12
-380.62,-380.62
-378.0,-378.0
-375.37,-375.37
-372.5,-372.5
-369.75,-369.75
-366.75,-366.75
-363.75,-363.75
-360.75,-360.75
-357.75,-357.75
-354.37,-354.37
-351.25,-351.25
-347.87,-347.87
-344.5,-344.5
-341.12,-341.12
-337.62,-337.62
-333.87,-333.87
-330.5,-330.5
-326.75,-326.75
-323.0,-323.0
-319.12,-319.12
-315.37,-315.37
-311.62,-311.62
-307.75,-307.75
-303.75,-303.75
-299.87,-299.87
-295.75,-295.75
-291.62,-291.62
-287.75,-287.75
-283.62,-283.62
-279.5,-279.5
-275.37,-275.37
-271.0,-271.0
-266.62,-266.62
-262.25,-262.25
-258.12,-258.12
-253.75,-253.75
-249.37,-249.37
-245.0,-245.0
-240.62,-240.62
-236.25,-236.25
-231.87,-231.87
-227.0,-227.0
-222.62,-222.62
-218.37,-218.37
-214.0,-214.0
-209.12,-209.12
-204.87,-204.87
-208.0,-208.0
-249.62,-249.62
-373.37,-373.37
-587.37,-587.37
-840.87,-840.87
-1056.88,-1056.88
-1179.25,-1179.25
-1197.38,-1197.38
-1138.13,-1138.13
-1043.75,-1043.75
-953.62,-953.62
-888.62,-888.62
-851.12,-851.12
-832.25,-832.25
-819.06,-819.06
-801.75,-801.75
-776.56,-776.56
-743.94,-743.94
-708.0,-708.0
-672.25,-672.25
-639.75,-639.75
-610.0,-610.0
-582.87,-582.87
-556.44,-556.44
-530.62,-530.62
-504.5,-504.5
-477.5,-477.5
-450.69,-450.69
-424.06,-424.06
-398.16,-398.16
-372.87,-372.87
-348.78,-348.78
-325.34,-325.34
-302.09,-302.09
-279.0,-279.0
-256.56,-256.56
-233.81,-233.81
-211.72,-211.72
-190.3,-190.3
-169.05,-169.05
-148.46,-148.46
-128.04,-128.04
-107.79,-107.79
-88.21,-88.21
-68.79,-68.79
-50.04,-50.04
-31.45,-31.45
-13.53,-13.53
4.23,4.23
21.81,21.81
38.77,38.77
55.03,55.03
71.66,71.66
87.09,87.09
102.91,102.91
118.03,118.03
133.03,133.03
147.87,147.87
162.0,162.0
176.06,176.06
189.37,189.37
202.62,202.62
215.69,215.69
228.56,228.56
240.81,240.81
252.94,252.94
264.62,264.62
276.19,276.19
287.37,287.37
298.12,298.12
308.44,308.44
318.75,318.75
328.62,328.62
338.25,338.25
347.62,347.62
356.75,356.75
365.75,365.75
374.12,374.12
382.5,382.5
390.62,390.62
398.37,398.37
406.0,406.0
413.12,413.12
420.25,420.25
427.0,427.0
433.62,433.62
439.87,439.87
446.0,446.0
451.62,451.62
457.25,457.25
462.75,462.75
467.87,467.87
472.62,472.62
477.5,477.5
481.75,481.75
486.25,486.25
490.25,490.25
494.0,494.0
497.75,497.75
501.25,501.25
504.37,504.37
507.37,507.37
510.25,510.25
512.75,512.75
515.25,515.25
517.5,517.5
519.62,519.62
521.5,521.5
523.25,523.25
525.0,525.0
526.25,526.25
527.25,527.25
528.5,528.5
529.25,529.25
530.25,530.25
530.5,530.5
531.0,531.0
531.25,531.25
531.25,531.25
531.25,531.25
531.0,531.0
530.75,530.75
530.5,530.5
529.75,529.75
529.0,529.0
528.25,528.25
527.25,527.25
526.25,526.25
525.0,525.0
523.25,523.25
521.75,521.75
520.0,520.0
518.0,518.0
516.25,516.25
514.5,514.5
512.25,512.25
510.0,510.0
507.5,507.5
505.0,505.0
502.5,502.5
500.0,500.0
497.0,497.0
494.5,494.5
491.5,491.5
488.5,488.5
485.5,485.5
482.0,482.0
479.0,479.0
475.5,475.5
472.0,472.0
468.5,468.5
465.0,465.0
461.25,461.25
457.5,457.5
453.75,453.75
449.75,449.75
445.75,445.75
441.75,441.75
437.75,437.75
433.75,433.75
429.25,429.25
425.25,425.25
